x	exp(x)	0,9999999771824299 * EXP(x)	diff	Diff^2
3,2	24,5325301971	24,5325296373	5,5977272594987E-007	3,13345504717348E-013
3,3	27,1126389207	27,112638302	6,18644538263879E-007	3,82721064723729E-013
3,4	29,9641000474	29,9640993637	6,83707952475743E-007	4,67456564278573E-013
3,5	33,1154519587	33,1154512031	7,55614145475647E-007	5,70952736842892E-013
3,6	36,5982344437	36,5982336086	8,35082779815366E-007	6,97363249144159E-013
3,7	40,4473043601	40,4473034372	9,22909201506172E-007	8,51761394224761E-013
3,8	44,7011844933	44,7011834733	0,00000102	1,04034371462274E-012
3,9	49,4024491055	49,4024479783	1,12724384138119E-006	1,27067867793181E-012
4	54,5981500331	54,5981487873	1,24579711524575E-006	1,55201045235463E-012
4,1	60,3402875974	60,3402862205	1,37681873724205E-006	1,89562983522079E-012
4,2	66,6863310409	66,6863295193	1,5216200353052E-006	2,31532753184221E-012
4,3	73,6997936996	73,6997920179	1,68165020397737E-006	2,82794740853713E-012
4,4	81,450868665	81,4508668065	1,8585108989555E-006	3,45406276153638E-012
4,5	90,0171313005	90,0171292465	0,000002054	4,2188017814531E-012
4,6	99,4843156419	99,4843133719	0,00000227	5,15285617458222E-012
4,7	109,9471724521	109,9471699434	2,50872730589435E-006	6,29371269533994E-012
4,8	121,5104175187	121,5104147462	2,77257245784313E-006	7,68715803399027E-012
4,9	134,2897796849	134,2897766208	3,06416646367325E-006	9,3891161170998E-012
5	148,4131591026	148,4131557161	3,38642766450903E-006	1,14678923269521E-011
5,1	164,0219072999	164,0219035573	3,74258135593664E-006	1,40069152058045E-011
5,2	181,2722418751	181,272237739	4,13619207506599E-006	1,71080848818387E-011
5,3	200,3368099748	200,3368054036	4,57119918451099E-006	2,08958619844739E-011
5,4	221,4064162042	221,4064111522	0,000005052	2,55222635381E-011
5,5	244,6919322642	244,6919266809	5,58327531052782E-006	3,11729631931496E-011
5,6	270,4264074261	270,4264012557	6,17047351170186E-006	3,80747433586143E-011
5,7	298,867400967	298,8673941476	6,81942788105516E-006	4,65045966249125E-011
5,8	330,2995599096	330,299552373	7,53663334762678E-006	5,680084221656E-011
5,9	365,0374678653	365,037459536	8,3292679846636E-006	6,93767051603421E-011
6	403,4287934927	403,4287842874	9,20526474601502E-006	8,4736899044227E-011
6,1	445,8577700825	445,8577599091	1,0173390876389E-005	1,03497881923795E-010
6,2	492,7490410932	492,7490298499	1,12433357912778E-005	1,26412599715428E-010
6,3	544,5719101259	544,5718977001	1,24258076539263E-005	1,54400695852374E-010
6,4	601,845037872	601,8450241394	1,37326412641414E-005	1,885854360896E-010
6,5	665,1416330443	665,1416178674	1,51769157810122E-005	2,30338772623938E-010
6,6	735,0951892419	735,0951724688	1,67730860312076E-005	2,81336415010293E-010
6,7	812,4058251675	812,4058066304	1,8537126834417E-005	3,43625071275263E-010
6,8	897,8472916504	897,8472711637	2,04866935291648E-005	4,19704611757922E-010
6,9	992,274715605	992,2746929637	2,26412978463486E-005	5,1262836816707E-010
7	1096,6331584284	1096,6331334059	2,50225039053475E-005	6,26125701693133E-010
7,1	1211,9670744925	1211,9670468384	2,76541436505795E-005	7,64751661046886E-010
7,2	1339,4307643943	1339,4307338318	3,05625553664868E-005	9,3406979052957E-010
7,3	1480,2999275845	1480,2998938076	3,37768472036259E-005	1,14087540701709E-009
7,4	1635,9844299958	1635,9843926666	3,73291893538408E-005	1,3934683778149E-009
7,5	1808,042414456	1808,0423732008	4,12551344197709E-005	1,70198611599337E-009
7,6	1998,195895104	1998,19584951	0,000045594	2,07881054228227E-009
7,7	2208,3479918871	2208,3479414979	5,03891351399943E-005	2,53906494015661E-009
7,8	2440,6019776244	2440,6019219357	5,56886066078732E-005	3,10122090592646E-009
7,9	2697,2823282683	2697,2822667229	6,1545428707177E-005	3,78783979475021E-009
8	2980,9579870415	2980,9579190233	6,80182179166877E-005	4,62647796856202E-009
8,1	3294,4680752836	3294,4680001119	7,51717561797704E-005	5,65079292715086E-009
8,2	3640,9503073321	3640,9502242545	8,30776389193488E-005	6,9018940884137E-009
8,3	4023,872393822	4023,8723020071	0,000091815	8,4299924539783E-009
8,4	4447,0667476996	4447,0666462283	0,0001014713	1,02964160051804E-008
8,5	4914,7688402988	4914,7687281557	0,0001121431	1,2576070915192E-008
8,6	5431,6595913626	5431,6594674254	0,0001239373	1,53604476886458E-008
8,7	6002,9122172606	6002,9120802888	0,0001369719	1,87612932352731E-008
