currentDataSet	currentTime	freeRadicalsFactor	tourneySize	initialTemp	minTemp	minDepth	minInitialWidth	maxInitialWidth	earlyLeafProb	constProb	maxAvgForResult	popSize	maxGen	initCp	stepCp	initMp	stepMp	eval	duration	foo
exp,csv	1	0,15	3	100	1	3	2	10	400	400	10000	200	50	800	10	300	10	12315264105397700000000000000000000	23 minutes, 36,034 seconds	1,0002254626657985 * SUM(x, x, SIN(x), -1,8333337948259744E16, LESS_THAN(x, x), SIGN(-9,37902666625734E-13), PRODUCT(x, -3175127,620567737, 9,242459398182672E-4, 188485,1463228704, x, x, x, x), EXP(x))
exp,csv	0	0,05	5	100	1	3	2	10	400	400	10000	100	50	800	10	300	10	12328701399861500000000000000000000	8 minutes, 31,436 seconds	1,000200133194519 * EXP(MAX(-5,952421007788574, 0,002103521610147159, x, -663184,3036146896, x, -3,4456235481638268E31, -4,0327662376887256E11, x, x))
exp,csv	0	0,15	3	50	1	3	2	10	400	400	10000	100	50	800	10	300	10	12599025918673600000000000000000000	12 minutes, 49,206 seconds	1,0002045176419818 * SUM(LESS_THAN(-2,0341780629447623E19, x), EXP(x), DIV(-1,955126260270006E15, 0,11592111179270465), x, x, SUBTRACT(x, x, x))
exp,csv	1	0,15	3	100	1	3	5	10	400	400	10000	100	50	800	10	300	10	13172829916772800000000000000000000	13 minutes, 56,653 seconds	0,9997908764190764 * SUM(ABS(x), MAX(x, x, x, x, 9,801910894078594E12), ABS(x), SIGN(x), ABS(x), SUM(x, x, x, 4896344,108212221, x, x, x, 1,697635552058644E16, x), EXP(x), x, LESS_THAN(x, x))
exp,csv	0	1	2	100	1	3	2	10	400	400	10000	100	50	800	10	300	10	13177803229319400000000000000000000	4 minutes, 32,173 seconds	0,999793089767008 * ABS(EXP(x))
exp,csv	1	0,15	3	500	10	3	2	10	400	400	10000	100	50	800	10	300	10	14779289296630100000000000000000000	6 minutes, 30,048 seconds	0,999780877368059 * EXP(MAX(x, x, x, -1,1184448266681409E27, x, 3,5132724552500676, -3,3107767539448324E13, x))
exp,csv	1	0,15	3	100	1	3	2	10	600	400	10000	100	50	800	10	300	10	40075541815837700000000000000000000	5 minutes, 25,079 seconds	-0,9996352433939553 * SUBTRACT(1,2617201902719016E13, EXP(x), MIN(x, x, x), x, DIV(4,0007844333872217E11, 1,3495737569868522E-5))
exp,csv	1	0,15	3	100	1	3	2	10	400	400	10000000000000000000000000000000000000000	100	50	800	10	300	10	72570475408339300000000000000000000	11 minutes, 31,416 seconds	0,9995091560433975 * SUM(EXP(x), 3,9866316680975472E16, LESS_THAN(-0,5072714641890883, -188961,09081593156), LESS_THAN(-7,925507122252402E-14, 2,39145495153582944E17), LN(x), x)
exp,csv	0	0,15	3	100	1	3	5	10	400	400	10000	100	50	800	10	300	10	96611283499411400000000000000000000	14 minutes, 2,112 seconds	0,9994336597999438 * SUM(x, SQRT(x), x, TANH(-7000,984300577222), SUBTRACT(x, x, -84588,7206263516, 4,1329632642273136E16, x, -8,7365959706068608E16, x), LESS_THAN(x, x), SQRT(2,2691738457702612E-8), EXP(x))
exp,csv	0	0,15	3	100	1	3	2	10	400	400	10000	100	50	800	10	100	10	299452374913820000000000000000000000	3 minutes, 21,527 seconds	1,0009970738694007 * SUBTRACT(EXP(x), TANH(-1946,3062680850653), 8,0768037911799296E16)
exp,csv	1	0,15	3	100	1	3	2	10	0	400	10000	100	50	800	10	300	10	371914105615910000000000000000000000	19 minutes, 50,447 seconds	0,9987878031764152 * SUM(EXP(x), PRODUCT(1175,2834836149245, 1,3037472854211676E8, x, x, x, x), MIN(x, x, -1,02269215159047104E17), MAX(-1,0099590569847092E-7, x, 2627649,46983277, x, x, x, x, x), MAX(x, -2,710608558667908E8, -3,816631136293717E-8, -2,8199778514726824E21, 55,77610302898165, 1,5437927271045965E15, x, x), DIV(6,2717728575490336E16, x))
